Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common_Unspecified,1,RaspberryPi_Pico,
BRD1,AE-MICRO-SD-DIP,1,~,
BRD2,128x64OLED,1,SSD1306,
BZ1,Piezo_Transducer_THT_PS1240P02BT,1,PS1240P02BT,PS1240P02BT
"C1, C10, C12, C7, C9",0603,5,0.1uF,C14663
"C11, C4, C8",0603,3,10uF,C19702
"C2, C5",0603,2,1uF,C15849
C3,0603,1,22nF,C21122
C6,0603,1,22pF,C1653
D1,SOT-23,1,BAT54S,C83935
D2,Nexperia_CFP3_SOD-123W,1,1N4148, C81598
J1,3.5mm Jack MONO TS,1,PC_SAVE,
J2,3.5mm Jack MONO TS,1,PC_LOAD,
J3,2.5mm Jack MONO TS,1,PC_REMOTE,
"R1, R14, R16, R17, R2, R8",0603,6,10kΩ,C25804
R10,0603,1,3.3kΩ,C22978
"R11, R4",0603,2,100kΩ,C25803
R12,0603,1,4.7kΩ,C23162
"R13, R15",0603,2,33Ω,C23140
R3,0603,1,1kΩ,C21190
R5,0603,1,22kΩ,C31850
R6,0603,1,1MΩ,C22935
R7,0603,1,10Ω,C22859
R9,0603,1,470Ω,C23179
RV1,Potentiometer_Runtron_RM-065_Vertical,1,10kΩ,
SW1,SW_PUSH_6mm_H4.3mm,1,PLAY,
SW10,SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm,1,SW_SPST,
SW11,SW_PUSH_6mm_H4.3mm,1,RESET,
SW2,SW_PUSH_6mm_H4.3mm,1,REC,
SW3,SW_PUSH_6mm_H4.3mm,1,STOP,
SW4,SW_PUSH_6mm_H4.3mm,1,UP,
SW5,SW_PUSH_6mm_H4.3mm,1,DOWN,
SW6,SW_PUSH_6mm_H4.3mm,1,LEFT,
SW7,SW_PUSH_6mm_H4.3mm,1,RIGHT,
SW8,SW_PUSH_6mm_H4.3mm,1,OK,
SW9,SW_PUSH_6mm_H4.3mm,1,CANCEL,
U1,DIP-8_W7.62mm_Socket,1,MCP6022,
U2,DIP-8_W7.62mm_Socket,1,LM393,
U3,DIP-4_W7.62mm_Socket,1,PC817,
