Designator,Mid X,Mid Y,Rotation,Layer
A1,141.5073,-85.7504,90.0,top
BRD1,187.6298,-112.4204,90.0,top
BRD2,159.385,-112.2004,0.0,top
BZ1,181.142,-90.424,270.0,top
C1,186.817,-75.438,0.0,top
C10,131.281,-69.1515,180.0,top
C11,175.895,-106.045,180.0,top
C12,175.895,-108.585,180.0,top
C2,183.729479,-56.007,270.0,top
C3,157.988,-69.2415,270.0,top
C4,183.134,-75.438,180.0,top
C5,157.099,-66.5745,180.0,top
C6,179.578,-63.6535,90.0,top
C7,192.659,-63.754,270.0,top
C8,193.421,-77.851,90.0,top
C9,177.8,-68.072,90.0,top
D1,187.097479,-55.5775,270.0,top
D2,131.7625,-60.6425,0.0,top
J1,176.022,-54.945098,0.0,top
J2,153.162,-54.945098,0.0,top
J3,164.592,-53.492098,0.0,top
R1,186.817,-73.66,180.0,top
R10,163.703,-65.024,180.0,top
R11,163.703,-68.072,180.0,top
R12,131.2545,-67.2465,180.0,top
R13,175.895,-111.379,0.0,top
R14,175.768,-116.205,180.0,top
R15,176.784,-101.727,270.0,top
R16,175.768,-118.745,180.0,top
R17,175.006,-101.727,90.0,top
R2,181.737,-73.66,180.0,top
R3,156.3116,-69.2658,90.0,top
R4,192.659,-69.469,90.0,top
R5,187.158479,-58.42,0.0,top
R6,177.927,-63.627,270.0,top
R7,191.643,-77.851,270.0,top
R8,179.451,-70.485,270.0,top
R9,131.2545,-64.0715,180.0,top
RV1,151.297,-64.429,180.0,top
SW1,134.545,-131.4704,0.0,top
SW10,193.294,-90.551,270.0,top
SW11,124.115,-65.33,270.0,top
SW2,146.05,-131.4704,0.0,top
SW3,157.48,-131.4704,0.0,top
SW4,129.195,-105.97,90.0,top
SW5,129.195,-120.142,270.0,top
SW6,121.575,-112.955,90.0,top
SW7,136.815,-112.955,90.0,top
SW8,171.144,-131.354,180.0,top
SW9,182.5728,-131.4704,0.0,top
U1,185.928,-66.7004,0.0,top
U2,171.069,-66.7004,0.0,top
U3,137.8585,-64.4525,270.0,top
