"ID";"指定子";"フットプリント";"数量";"名称";"供給業者、参考資料";
1;"A1";"RaspberryPi_Pico_Common_Unspecified";1;"RaspberryPi_Pico";;;
2;"Brd1";"AE-MICRO-SD-DIP";1;"~";;;
3;"Brd2";"128x64OLED";1;"SSD1306";;;
4;"BZ1";"Piezo_Transducer_THT_PS1240P02BT";1;"PS1240P02BT";;;
5;"C1, C7, C9, C10, C12";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";5;"0.1uF";;;
6;"C2, C5";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"1uF";;;
7;"C3";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"22nF";;;
8;"C4, C8, C11";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";3;"10uF";;;
9;"C6";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"22pF";;;
10;"D1";"SOT-23";1;"BAT54S";;;
11;"D2";"Nexperia_CFP3_SOD-123W";1;"1N4148";;;
12;"J1";"3.5mm Jack MONO TS";1;"PC_SAVE";;;
13;"J2";"3.5mm Jack MONO TS";1;"PC_LOAD";;;
14;"J3";"2.5mm Jack MONO TS";1;"PC_REMOTE";;;
15;"R1, R2, R8, R14, R16, R17";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";6;"10kΩ";;;
16;"R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"1kΩ";;;
17;"R4";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"100kΩ";;;
18;"R5";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"22kΩ";;;
19;"R6";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"1MΩ";;;
20;"R7";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"10Ω";;;
21;"R9";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"470Ω";;;
22;"R10";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"3.3kΩ";;;
23;"R11";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"100kΩ";;;
24;"R12";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"4.7kΩ";;;
25;"R13, R15";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"33Ω";;;
26;"REF**, REF**, REF**, REF**";"DHM3";4;"DHM3";;;
27;"REF**, REF**, REF**, REF**";"DHM2";4;"DHM2";;;
28;"RV1";"Potentiometer_Runtron_RM-065_Vertical";1;"10kΩ";;;
29;"SW1";"SW_PUSH_6mm_H4.3mm";1;"PLAY";;;
30;"SW2";"SW_PUSH_6mm_H4.3mm";1;"REC";;;
31;"SW3";"SW_PUSH_6mm_H4.3mm";1;"STOP";;;
32;"SW4";"SW_PUSH_6mm_H4.3mm";1;"UP";;;
33;"SW5";"SW_PUSH_6mm_H4.3mm";1;"DOWN";;;
34;"SW6";"SW_PUSH_6mm_H4.3mm";1;"LEFT";;;
35;"SW7";"SW_PUSH_6mm_H4.3mm";1;"RIGHT";;;
36;"SW8";"SW_PUSH_6mm_H4.3mm";1;"OK";;;
37;"SW9";"SW_PUSH_6mm_H4.3mm";1;"CANCEL";;;
38;"SW10";"SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm";1;"SW_SPST";;;
39;"SW11";"SW_PUSH_6mm_H4.3mm";1;"RESET";;;
40;"U1";"DIP-8_W7.62mm_Socket";1;"MCP6022";;;
41;"U2";"DIP-8_W7.62mm_Socket";1;"LM393";;;
42;"U3";"DIP-4_W7.62mm_Socket";1;"PC817";;;
